# Lc(Cup_Length): 24.0
# Rc(Cup_Radius): 8.75
# Rt(Throat_Radius): 2.0
# A(Slope Angle): -5.0
# Beta(inflection point param): 0.5
# (a,b,c)(atan function params): 2.8962627747517673,-0.19411746546522038,5.375
x,y
15.85,3.5161658396870346
15.9,3.4982129750353455
15.95,3.4804270372602377
16.0,3.4628070318635977
16.05,3.4453519336837775
16.1,3.428060688738457
16.15,3.410932216015973
16.2,3.3939654092148843
16.25,3.3771591384316952
16.3,3.3605122517967634
16.35,3.344023577058551
16.4,3.3276919231165003
16.45,3.31151608150287
16.5,3.2954948278140193
16.55,3.279626923091661
16.6,3.2639111151546993
16.65,3.2483461398823477
16.7,3.232930722449258
16.75,3.2176635785134766
16.8,3.202543415358057
16.85,3.1875689329872334
16.9,3.172738825178076
16.95,3.1580517804885804
17.0,3.143506483223196
17.05,3.1291016143567725
17.1,3.1148358524179667
17.15,3.1007078743331413
17.2,3.086716356231802
17.25,3.072859974214629
17.3,3.059137405085156
17.35,3.045547327046151
17.4,3.0320884203617635
17.45,3.0187593679864695
17.5,3.005558856161879
17.55,2.9924855749824126
17.6,2.9795382189308914
17.65,2.9667154873850374
17.7,2.954016085095875
17.75,2.9414387226390315
17.8,2.9289821168398764
17.85,2.9166449911734595
17.9,2.904426076140172
17.95,2.8923241096180297
18.0,2.880337837192488
18.05,2.8684660124646237
18.1,2.85670739733856
18.15,2.8450607622889437
18.2,2.833524886609286
18.25,2.8220985586419487
18.3,2.8107805759905355
18.35,2.79956974571543
18.4,2.788464884513202
18.45,2.777464818880571
18.5,2.7665683852636165
18.55,2.7557744301928735
18.6,2.745081810404964
18.65,2.7344893929513643
18.7,2.723996055294908
18.75,2.713600685394602
18.8,2.7033021817792995
18.85,2.6930994536107726
18.9,2.6829914207366956
18.95,2.6729770137340334
19.0,2.663055173943332
19.05,2.653224853494343
19.1,2.64348501532345
19.15,2.633834633183316
19.2,2.6242726916451584
19.25,2.6147981860940623
19.3,2.605410122717684
19.35,2.596107518488743
19.4,2.5868894011416224
19.45,2.57775480914343
19.5,2.568702791659845
19.55,2.5597324085160404
19.6,2.5508427301529966
19.65,2.542032837579482
19.7,2.533301822319962
19.75,2.524648786358718
19.8,2.516072842080401
19.85,2.507573112207273
19.9,2.4991487297333568
19.95,2.4907988378557095
20.0,2.4825225899030334
20.05,2.474319149261812
20.1,2.466187689300168
20.15,2.4581273932896215
20.2,2.4501374543249077
20.25,2.4422170752420445
20.3,2.4343654685347706
20.35,2.426581856269531
20.4,2.4188654699991345
20.45,2.41121555067522
20.5,2.4036313485596703
20.55,2.3961121231350675
20.6,2.388657143014337
20.65,2.3812656858496664
20.7,2.3739370382408054
20.75,2.366670495642861
20.8,2.359465362273653
20.85,2.3523209510207463
